StreamID,CentroidX,CentroidY,Source,TreatmentName,BiomassUtilized,TreatmentStatus,FundedProjectName,TreatmentCategory,PendingStateReview,FederalGrantProgram,ActualCompletionDate,FederalFundingAmount,FederalGrantFiscalYear,TreatmentAcresReported,TreatmentIdentifierDatabase,LeveragedByIndirectFederalFunding
c7bf754b-f25b-45c5-9959-b527b350a5f4,-20.05772068,16.0904233,California,Bengard Blocks,No,Completed,,N/A,0,0,,,,2718,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
249dcc66-65d5-486b-95c1-b1c7dfba930e,-19.03622702,19.8954786,California,Whittington 2,No,Completed,,N/A,0,0,,,,0,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
20cc9623-67ba-4830-aab9-f5dceb5cfcb9,-20.12432762,17.70178552,California,Fuel Reduction Grant,No,Completed,,N/A,0,0,,,,0,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
80bb46b7-9134-4138-bed6-4bd90c688210,-20.19324385,20.8822693,California,TREX/AHAL- Public Lands 7,No,Completed,,N/A,0,0,,,,966,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
e68b7fac-7873-4fe3-989f-7fa7244ef49d,0.949190601,8.392627568,Texas,,Yes,Completed,,Other,2,BIL SFA,1.55098E+12,130430.0823,2018,136.006342334015,eb7ab6ac-2d66-41f4-bfba-5dbe666c38ce,0
31fcda3f-e6fd-4d02-99d0-87db12ec9470,-11.72471279,20.01231186,Idaho,,Yes,Completed,,Other,2,Unknown,1.54779E+12,3092.515141,2017,4.46250381062026,683b8420-09e9-4315-b874-2eb8aab25889,0
36fd9dfe-7b45-4a19-9c47-847126152274,-11.71679748,20.01280859,Idaho,,Yes,Completed,,Mechanical,2,WWUI,1.68939E+12,3295.681944,2023,2.22681212410424,683b8420-09e9-4315-b874-2eb8aab25889,0
c9b6a626-d8a1-44e0-9e88-0c352f815273,-14.01092202,25.61944114,Idaho,,No,Completed,,Other,2,CB-HFR,1.56956E+12,3685.435657,2019,3.38113363056767,683b8420-09e9-4315-b874-2eb8aab25889,0
b0054a3c-db5d-4905-8c7d-768e9e2bb9f5,1.026440128,8.158862244,Texas,,Yes,Completed,,Other,2,WWUI,1.53914E+12,106580.8684,2019,97.5122308806447,eb7ab6ac-2d66-41f4-bfba-5dbe666c38ce,0
d64bca8c-08cb-4162-a5f5-628573a6bc38,-15.1146544,26.61180821,Washington,,No,Completed,,Planting,2,WWUI,1.52351E+12,37882,2018,31,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
bd157baa-3ba4-4a98-b14a-bc921e72bda5,0.470360024,7.575512745,Texas,,No,Completed,,Other,2,JCLR,1.6684E+12,36201.35145,2017,65.582158416075,eb7ab6ac-2d66-41f4-bfba-5dbe666c38ce,0
ac828e04-d80d-4f24-85d5-d08499d23250,-13.71200335,25.7321359,Idaho,,No,Completed,,Other,2,WWUI,1.64896E+12,711.2335897,2020,2.74607563600188,683b8420-09e9-4315-b874-2eb8aab25889,0
5fdaa081-5752-4704-b10a-b4aebb6de6c5,-18.34381416,16.07688195,California,Zone 1 ,No,Completed,,N/A,0,0,,,,0,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
0296c56e-0425-4bb3-896d-89aa7ece867e,-18.80861422,17.99451527,California,2018 Fall Broadcast,No,Completed,,N/A,0,0,,,,99,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
a34e1a7f-7f40-4803-a1e3-6bcefffd8013,-20.96280071,18.79573086,California,Fuel Reduction Grant,No,Completed,,N/A,0,0,,,,130,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
